experiment,target,model,family,selection_MAE,selection_RMSE,selection_MAPE,selection_R2,complexity,expression,notes,fit_seconds,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate,selection_score
noise_3,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.7486496697974347,1.354063739312095,3.7455154956927355,0.9776911206020165,15,Nuavg = exp(1.42581 + 6.42194e-05 Re + 0.053045 log(Re) + 0.0180591 sqrt(Re) + 0.00201611 Pr + 0.00974292 sqrt(Pr) - 9.33961e-05 log(Da) - 1.5294 sqrt(Da) + 0.00129342 porosity + 0.884133 thickness - 0.118532 amplitude - 0.0041552 wavelength + 0.0508154 log(Re)log(Pr) + 0.000461619 log(Re)log(Da) - 0.000269814 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.1046106000430882,0.0,0.0,0.0,0.0,0.0,0.0032495934037868757,0.012645710293575422,2.729437327905915,0.0,0.14
noise_5,Nuavg,ordinary_power_law,symbolic,1.3131407864204685,2.2575964770337063,7.215280367454153,0.9386494422069699,8,Nuavg = 2.3690505 Re^{0.283842} Pr^{0.301253} Da^{-0.00473192} porosity^{0.00428087} thickness^{0.15457} exp(-0.140154amplitude) exp(-0.00412985wavelength),Log-linear ordinary least-squares power-law correlation.,0.001680999994277954,0.0,0.0,0.0,0.0,0.0,0.002581867995096289,0.012681295682487423,2.249579782390074,0.0,1.1
noise_5,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.9033263095411719,1.500954505702133,4.862399019474608,0.9728817952165052,14,Nuavg = exp(1.38969 + 0.000145182 Re + 0.0680278 log(Re) + 0.0138254 sqrt(Re) + 0.00210052 Pr + 0.0102899 sqrt(Pr) - 0.00149323 log(Da) - 1.27364 sqrt(Da) + 0.877217 thickness - 0.137234 amplitude - 0.00338774 wavelength + 0.0500517 log(Re)log(Pr) + 0.000622186 log(Re)log(Da) - 0.000261426 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.09086310002021492,0.0,0.0,0.0,0.0,0.0,0.0032423153239533216,0.012590201420982085,2.718630224778758,0.0,0.14
random80_20,DelP_Pa,ordinary_power_law,symbolic,115.82185137438657,307.42103525040733,30.514812645404604,0.8039351775362293,8,DelP_Pa = 0.068904337 Re^{1.12942} Pr^{0.00146084} Da^{-0.33008} porosity^{-0.0583578} thickness^{1.10396} exp(1.58018amplitude) exp(-0.028338wavelength),Log-linear ordinary least-squares power-law correlation.,0.0023879000218585134,0.0,0.0,0.0,0.0,0.0,0.008706143787471067,0.04488959269080481,3.6971043229687885,0.0,0.5361221378800574
random80_20,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,33.336535307758204,77.504234564401,9.128569686541764,0.9875381252495676,16,DelP_Pa = exp(-11.4938 + 0.000470612 Re + 1.07775 log(Re) + 0.0118455 sqrt(Re) - 2377.5 Da - 0.994175 log(Da) + 165.726 sqrt(Da) + 2.35084 thickness - 0.653458 log(thickness) + 1.57315 amplitude - 0.0257427 wavelength + 0.00967327 log(Re)log(Da) - 0.0151322 log(Re)log(porosity) - 0.00482461 log(Re)log(thickness) - 2.37805e-05 log(Pr)log(Da) - 0.132373 log(Da)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.12633769994135946,0.0,0.0,0.0,0.0,0.0,0.007705010611492667,0.04379921833601978,3.3400649095035475,0.0,0.1351612269987142
random80_20,DelP_Pa,unconstrained_gp_sr,symbolic,301.77541388327256,624.158023423961,271.4962225816408,0.19179481130325504,13,"DelP_Pa = sub(add(mul(Re, inv(porosity)), neg(sub(-0.054, Pr))), inv(log(Pr)))",Unconstrained genetic-programming symbolic regression.,0.6257844999199733,0.0,0.0,0.0,0.0,0.0,0.004690522878215323,0.02258521778083401,3.8134326290429765,0.0,1.018603288481455
random80_20,DelP_Pa,positive_complexity_gp_sr,symbolic,265.0703821863341,645.0556824799655,134.60236282020918,0.136769195479997,5,"DelP_Pa = exp(log(sub(abs(wavelength), Re)))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.5966467000544071,0.0,0.0,0.0,0.0,0.0,0.0050905105166899785,0.029652196922317662,5.430234467368914,0.0,1.1319184097862172
range_re_high_holdout,DelP_Pa,ordinary_power_law,symbolic,60.725714725432816,159.06024500836367,31.56171365604895,0.7761355271730084,8,DelP_Pa = 0.075118621 Re^{1.08477} Pr^{0.00126629} Da^{-0.340365} porosity^{-0.0581913} thickness^{1.10927} exp(1.41473amplitude) exp(-0.0232305wavelength),Log-linear ordinary least-squares power-law correlation.,0.001518599921837449,0.0,0.0,0.0,0.0,0.0,0.008142940293935988,0.03660117345385046,2.731472230445706,0.0,0.628941456352567
range_re_high_holdout,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,15.796887982514114,38.868699100602136,8.359671077106183,0.9866321398502932,16,DelP_Pa = exp(-11.9184 + 0.000755802 Re + 1.0408 log(Re) + 0.00552991 sqrt(Re) - 2737.56 Da - 1.02488 log(Da) + 184.174 sqrt(Da) + 2.38866 thickness - 0.736611 log(thickness) + 1.40085 amplitude - 0.023526 wavelength + 0.00583607 log(Re)log(Da) - 0.0099017 log(Re)log(porosity) - 0.00503014 log(Re)log(thickness) - 0.139166 log(Da)log(thickness) + 0.010583 log(porosity)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.12512169999536127,0.0,0.0,0.0,0.0,0.0,0.0069667435813011176,0.03685979662841634,2.350476083584374,0.0,0.13384615384615384
range_re_high_holdout,DelP_Pa,unconstrained_gp_sr,symbolic,172.15400564659444,308.54887160124997,318.0704398756618,0.15761658545849377,18,"DelP_Pa = sub(add(mul(Re, inv(porosity)), neg(sub(-0.054, Pr))), inv(log(mul(mul(Re, porosity), inv(porosity)))))",Unconstrained genetic-programming symbolic regression.,0.5377622999949381,0.0,0.0,0.0,0.0,0.0,0.0042767508114329115,0.01710762744905296,2.6167144304016867,0.0,1.0794782317089802
range_re_high_holdout,DelP_Pa,positive_complexity_gp_sr,symbolic,140.67379471724536,314.1877174719948,155.9836196267757,0.12654549537366822,5,"DelP_Pa = exp(log(sub(abs(wavelength), Re)))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.5453976999269798,0.0,0.0,0.0,0.0,0.0,0.005017557945877819,0.022926343173012603,2.8061876070967413,0.0,1.1296589850355925
geometry_holdout,DelP_Pa,ordinary_power_law,symbolic,86.9867341006141,252.0965397653713,31.66592117660723,0.7894024371286632,8,DelP_Pa = 0.075589642 Re^{1.12597} Pr^{-0.00410061} Da^{-0.321558} porosity^{-0.0702477} thickness^{1.09518} exp(1.45367amplitude) exp(-0.0192054wavelength),Log-linear ordinary least-squares power-law correlation.,0.0016700000269338489,0.0,0.0,0.0,0.0,0.0,0.008689072888601879,0.043680486585862086,3.972347200082141,0.0,0.6450330995465317
geometry_holdout,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,24.67815365821438,59.584441908282955,8.954050273583302,0.9882351790077853,16,DelP_Pa = exp(-11.1945 + 0.000344498 Re + 1.0602 log(Re) + 0.0176676 sqrt(Re) - 2383.46 Da - 0.998471 log(Da) + 164.2 sqrt(Da) + 1.73094 thickness - 0.618174 log(thickness) + 1.47378 amplitude - 0.0221395 wavelength + 8.65603e-06 log(Re)log(Pr) + 0.0098407 log(Re)log(Da) - 0.0194836 log(Re)log(porosity) - 0.00649624 log(Re)log(thickness) - 0.13866 log(Da)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.13717499992344528,0.0,0.0,0.0,0.0,0.0,0.007796729592171205,0.04428024171242605,3.487394485105136,0.0,0.21697346227176095
geometry_holdout,DelP_Pa,unconstrained_gp_sr,symbolic,204.08054320892856,503.1562218071245,163.55891154403056,0.16107088582010942,3,"DelP_Pa = sub(Re, amplitude)",Unconstrained genetic-programming symbolic regression.,0.6421140000456944,0.0,0.0,0.0,0.0,0.0,0.005093433230830845,0.02885224396094025,2.184302698774147,0.0,0.9988568451665238
geometry_holdout,DelP_Pa,positive_complexity_gp_sr,symbolic,202.39814807997212,503.66387335563087,151.93551773972735,0.15937718318962613,5,"DelP_Pa = exp(log(sub(log(Re), Re)))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.6976717000361532,0.0,0.0,0.0,0.0,0.0,0.00519257886876258,0.030400527957139573,2.2054486273949356,0.0,1.0177420058742128
sparse_20,DelP_Pa,ordinary_power_law,symbolic,111.84508357284513,287.63326834326233,30.894419364530172,0.8189667015010968,8,DelP_Pa = 0.08615949 Re^{1.10517} Pr^{-0.0122639} Da^{-0.331645} porosity^{0.100953} thickness^{1.11599} exp(1.71681amplitude) exp(-0.0413107wavelength),Log-linear ordinary least-squares power-law correlation.,0.0009138999739661813,0.0,0.0,0.0,0.0,0.0,0.008630088641820823,0.04410525548421886,3.426619928276502,0.0,1.2000000000000002
sparse_20,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,33.430121883152225,81.44612438835645,9.083113422363343,0.9854848650230355,17,DelP_Pa = exp(-10.7984 + 0.000197683 Re + 0.998389 log(Re) + 0.031042 sqrt(Re) - 0.00267605 log(Pr) - 2254.6 Da - 0.988948 log(Da) + 159.364 sqrt(Da) + 1.60626 thickness - 0.490706 log(thickness) + 1.55688 amplitude - 0.0292139 wavelength + 0.0107151 log(Re)log(Da) - 0.0202443 log(Re)log(porosity) - 0.0153769 log(Re)log(thickness) - 0.00192824 log(Pr)log(thickness) - 0.133148 log(Da)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.08540300000458956,0.0,0.0,0.0,0.0,0.0,0.007751000946941002,0.043619915413822354,3.0582658422140447,0.0,0.04
sparse_40,DelP_Pa,ordinary_power_law,symbolic,113.06486450598348,310.69043417061715,30.40192502377143,0.8050021345707636,8,DelP_Pa = 0.067849102 Re^{1.11368} Pr^{0.00107525} Da^{-0.332079} porosity^{0.043601} thickness^{1.07025} exp(1.31675amplitude) exp(-0.00995641wavelength),Log-linear ordinary least-squares power-law correlation.,0.0011671000393107533,0.0,0.0,0.0,0.0,0.0,0.008521256167297523,0.04306807008602919,3.6519237689382122,0.0,1.2000000000000002
sparse_40,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,31.115809405295245,79.84697543943916,8.13376317205339,0.98712073636362,16,DelP_Pa = exp(-11.6991 + 0.000461358 Re + 1.05444 log(Re) + 0.0109773 sqrt(Re) - 2608.28 Da - 0.997695 log(Da) + 175.68 sqrt(Da) + 2.59303 thickness - 0.680681 log(thickness) + 1.5512 amplitude - 0.0235545 wavelength + 0.00764078 log(Re)log(Da) - 0.00638654 log(Re)log(porosity) - 0.0110818 log(Re)log(thickness) - 0.000243788 log(Pr)log(Da) - 0.132731 log(Da)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.09205020009540021,0.0,0.0,0.0,0.0,0.0,0.007560637755488781,0.04296267933854209,3.4793409810636935,0.0,0.04
sparse_60,DelP_Pa,ordinary_power_law,symbolic,113.72675332939612,280.94859026821433,30.320919279378263,0.822056616690976,8,DelP_Pa = 0.075558116 Re^{1.11793} Pr^{0.0127312} Da^{-0.331619} porosity^{-0.0207468} thickness^{1.12765} exp(1.46631amplitude) exp(-0.0304894wavelength),Log-linear ordinary least-squares power-law correlation.,0.001986499992199242,0.0,0.0,0.0,0.0,0.0,0.00876128887165589,0.044009055499931796,3.676330079260967,0.0,1.2000000000000002
sparse_60,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,37.31237056501842,86.78289792498833,9.166891862401469,0.9830216131020267,16,DelP_Pa = exp(-11.5704 + 0.000276112 Re + 1.02468 log(Re) + 0.0233098 sqrt(Re) - 2448.68 Da - 1.00075 log(Da) + 169.141 sqrt(Da) + 2.56987 thickness - 0.682475 log(thickness) + 1.52306 amplitude - 0.0254909 wavelength + 0.00927577 log(Re)log(Da) - 0.0235679 log(Re)log(porosity) - 0.0103787 log(Re)log(thickness) - 0.000114512 log(Pr)log(Da) - 0.13387 log(Da)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.10663670010399073,0.0,0.0,0.0,0.0,0.0,0.007602883321786425,0.04350370917920827,3.3067561461173836,0.0,0.04
sparse_80,DelP_Pa,ordinary_power_law,symbolic,110.7239853470374,287.11885579007867,30.382304131761817,0.7873021270680619,8,DelP_Pa = 0.069673793 Re^{1.11896} Pr^{0.00988907} Da^{-0.329699} porosity^{-0.143587} thickness^{1.10239} exp(1.48776amplitude) exp(-0.0289458wavelength),Log-linear ordinary least-squares power-law correlation.,0.0013016000157222152,0.0,0.0,0.0,0.0,0.0,0.008641858309711967,0.0442869131043588,3.652920243210667,0.0,1.2000000000000002
sparse_80,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,30.210385761934774,67.78412861759892,8.780538044139458,0.9881451584810198,17,DelP_Pa = exp(-11.6729 + 0.000114662 Re + 1.03672 log(Re) + 0.0283465 sqrt(Re) - 2523.81 Da - 1.00574 log(Da) + 172.379 sqrt(Da) + 2.54994 thickness - 0.680514 log(thickness) + 1.57684 amplitude - 0.0270208 wavelength + 0.00999244 log(Re)log(Da) - 0.0151926 log(Re)log(porosity) - 0.00735869 log(Re)log(thickness) - 7.55414e-05 log(Pr)log(Da) - 0.133148 log(Da)log(thickness) + 0.0137606 log(porosity)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.1146890000673011,0.0,0.0,0.0,0.0,0.0,0.007707988420512341,0.04393178762758868,3.3490798762068175,0.0,0.04
noise_1,DelP_Pa,ordinary_power_law,symbolic,115.54197885561298,306.7191767940951,30.483313432853677,0.8044515446022198,8,DelP_Pa = 0.068871993 Re^{1.12936} Pr^{0.00132312} Da^{-0.330171} porosity^{-0.0609325} thickness^{1.10411} exp(1.57567amplitude) exp(-0.0282609wavelength),Log-linear ordinary least-squares power-law correlation.,0.0014584999298676848,0.0,0.0,0.0,0.0,0.0,0.008706070176062928,0.04487701772500281,3.6928110848059754,0.0,1.2000000000000002
