experiment,target,model,family,high_error_detection_AUROC,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate
range_re_high_holdout,DelP_Pa,unconstrained_gp_sr,symbolic,0.7014420613769148,0.0,0.0,0.0,0.0,0.0,0.00417658698652414,0.019544546556974792,2.635829409664202,0.0
range_re_high_holdout,DelP_Pa,positive_complexity_gp_sr,symbolic,0.6832000789655513,0.0,0.0,0.0,0.0,0.0,0.004936696251330195,0.02879520915166327,2.7973065625718765,0.0
range_re_high_holdout,DelP_Pa,certified_symbolic,symbolic,0.5557299475262368,0.0,0.0,0.0,0.0,0.0,0.007087856304176748,0.03732764057119257,2.2843894028538756,0.0
range_re_high_holdout,DelP_Pa,random_forest,black_box,0.7113785599127619,0.0,0.0,0.0,0.0,0.0,0.0,0.0007821536447143399,2.7842541047615845,0.0
range_re_high_holdout,DelP_Pa,xgboost_hist,black_box,0.7251787300647236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.478347168852319,0.0
geometry_holdout,DelP_Pa,ordinary_power_law,symbolic,0.16821525358110723,0.0,0.0,0.0,0.0,0.0,0.008435124357801586,0.047929286071278464,3.4122915989472937,0.0
geometry_holdout,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.47601179308496383,0.0,0.0,0.0,0.0,0.0,0.007916721996789337,0.047731772410310264,3.3173415039457987,0.0
geometry_holdout,DelP_Pa,unconstrained_gp_sr,symbolic,0.5532911481900452,0.0,0.0,0.0,0.0,0.0,0.004936369305810178,0.0349545236675729,3.138422892487771,0.0
geometry_holdout,DelP_Pa,positive_complexity_gp_sr,symbolic,0.5532911481900452,0.0,0.0,0.0,0.0,0.0,0.005017281387041208,0.03675523011587454,3.1927846236231954,0.0
geometry_holdout,DelP_Pa,certified_symbolic,symbolic,0.47601179308496383,0.0,0.0,0.0,0.0,0.0,0.007916721996789337,0.047731772410310264,3.3173415039457987,0.0
geometry_holdout,DelP_Pa,random_forest,black_box,0.9132582864290182,0.0,0.0,0.0,0.0,0.0,0.0,0.002370304592610221,3.5327848063887166,0.0
geometry_holdout,DelP_Pa,xgboost_hist,black_box,0.8143244289585754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1657046820890815,0.0
sparse_20,DelP_Pa,ordinary_power_law,symbolic,0.3543987678316037,0.0,0.0,0.0,0.0,0.0,0.008523128698646309,0.047127348542864,2.675496855094946,0.0
