experiment,target,model,family,MAE,RMSE,MAPE,R2,complexity,physics_violation_rate,sensitivity_p95,extrapolation_stability_index,high_error_detection_AUROC,gpu_requested,gpu_used,expression,notes
sparse_20,Nuavg,random_forest,black_box,0.2681240875813499,0.6392861017264325,1.1962625739466888,0.9954266721307446,369470.0,0.0,0.0017402315450659274,2.7213918422761147,0.7028750595914776,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
sparse_20,Nuavg,xgboost_hist,black_box,0.2535780934381382,0.5464492258671594,1.3043639296371126,0.996658500179085,600.0,0.0,0.0,1.9399243269095243,0.6662730573178335,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
sparse_40,Nuavg,ordinary_power_law,symbolic,1.2734604485917267,2.516453745609149,6.405883323786597,0.929136970300728,8.0,0.0,0.014934081463502358,2.2342674611705626,0.5660676959184422,False,False,Nuavg = 2.3432487 Re^{0.283779} Pr^{0.297006} Da^{-0.00638006} porosity^{0.0218271} thickness^{0.151838} exp(-0.112925amplitude) exp(-0.00417913wavelength),Log-linear ordinary least-squares power-law correlation.
sparse_40,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6773653304062641,1.5616918596922273,2.9278262656177665,0.9727081795664831,15.0,0.0,0.014995362064360317,2.739939680318297,0.6804686640507536,False,False,Nuavg = exp(1.43518 + 0.0398701 log(Re) + 0.0212705 sqrt(Re) + 0.00234264 Pr + 0.00773149 sqrt(Pr) - 0.000472475 log(Da) - 1.46735 sqrt(Da) + 0.00870108 log(porosity) + 0.910278 thickness - 0.134977 amplitude - 0.00291223 wavelength + 0.0505041 log(Re)log(Pr) + 0.000337144 log(Re)log(Da) - 0.00233438 log(Re)log(thickness) - 0.000252825 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_40,Nuavg,certified_symbolic,symbolic,0.6773653304062641,1.5616918596922273,2.9278262656177665,0.9727081795664831,15.0,0.0,0.014995362064360317,2.739939680318297,0.6804686640507536,False,False,Nuavg = exp(1.43518 + 0.0398701 log(Re) + 0.0212705 sqrt(Re) + 0.00234264 Pr + 0.00773149 sqrt(Pr) - 0.000472475 log(Da) - 1.46735 sqrt(Da) + 0.00870108 log(porosity) + 0.910278 thickness - 0.134977 amplitude - 0.00291223 wavelength + 0.0505041 log(Re)log(Pr) + 0.000337144 log(Re)log(Da) - 0.00233438 log(Re)log(thickness) - 0.000252825 log(Pr)log(Da)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_40,Nuavg,random_forest,black_box,0.17976208351409606,0.4921265202896201,0.7406094031211936,0.9972898373800975,736132.0,0.0,0.0011267753923391711,2.875891257726536,0.7282408595841432,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
sparse_40,Nuavg,xgboost_hist,black_box,0.21820439687633722,0.42987927422256145,1.0466507614414786,0.9979320747980144,600.0,0.0,0.0,2.068972358849609,0.702640360849316,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
sparse_60,Nuavg,ordinary_power_law,symbolic,1.2525992234543557,2.5138217808068593,6.302413493000119,0.9292851243966893,8.0,0.0,0.014954294348771059,2.2179032481183127,0.5799442590487367,False,False,Nuavg = 2.3738869 Re^{0.283236} Pr^{0.300047} Da^{-0.00471407} porosity^{0.00135874} thickness^{0.155772} exp(-0.138036amplitude) exp(-0.00363272wavelength),Log-linear ordinary least-squares power-law correlation.
sparse_60,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6714097175603009,1.5695570597132364,2.911964849471535,0.9724325859352505,14.0,0.0,0.014928646011882282,2.6964540061126137,0.6832595546984572,False,False,Nuavg = exp(1.40359 + 5.60195e-05 Re + 0.0520238 log(Re) + 0.018393 sqrt(Re) + 0.00220857 Pr + 0.0104103 sqrt(Pr) - 38.1065 Da - 0.00201744 log(Da) + 0.885138 thickness - 0.146409 amplitude - 0.00252326 wavelength + 0.050247 log(Re)log(Pr) + 0.000436431 log(Re)log(Da) - 0.000593971 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_60,Nuavg,certified_symbolic,symbolic,0.6714097175603009,1.5695570597132364,2.911964849471535,0.9724325859352505,14.0,0.0,0.014928646011882282,2.6964540061126137,0.6832595546984572,False,False,Nuavg = exp(1.40359 + 5.60195e-05 Re + 0.0520238 log(Re) + 0.018393 sqrt(Re) + 0.00220857 Pr + 0.0104103 sqrt(Pr) - 38.1065 Da - 0.00201744 log(Da) + 0.885138 thickness - 0.146409 amplitude - 0.00252326 wavelength + 0.050247 log(Re)log(Pr) + 0.000436431 log(Re)log(Da) - 0.000593971 log(Pr)log(thickness)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_60,Nuavg,random_forest,black_box,0.09592476165943449,0.31346332800126275,0.3998596138046015,0.998900449216494,1098064.0,0.0,0.0011901068526367928,2.78850603228768,0.7630569511166526,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
sparse_60,Nuavg,xgboost_hist,black_box,0.19149491152649592,0.3961594736361589,0.9512309665951003,0.9982437679274823,600.0,0.0,0.0,2.004928459426087,0.6617881110418424,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
sparse_80,Nuavg,ordinary_power_law,symbolic,1.23718166058346,2.4378273298386177,6.381522013227232,0.9334960110888699,8.0,0.0,0.015094644772900201,2.219818778366439,0.5497744691774544,False,False,Nuavg = 2.3206085 Re^{0.286227} Pr^{0.301773} Da^{-0.00541131} porosity^{-0.00104025} thickness^{0.15453} exp(-0.13788amplitude) exp(-0.00424734wavelength),Log-linear ordinary least-squares power-law correlation.
sparse_80,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6673068932390482,1.5647472070025221,2.904656238666193,0.9726012858034957,16.0,0.0,0.015017763666280916,2.686600555790606,0.6574791888224724,False,False,Nuavg = exp(1.42596 + 7.38651e-05 Re + 0.0508726 log(Re) + 0.0184778 sqrt(Re) + 0.00162706 Pr + 0.016864 sqrt(Pr) - 0.76152 Da - 0.000204031 log(Da) - 1.54591 sqrt(Da) + 0.000498889 porosity + 0.875483 thickness - 0.138208 amplitude - 0.00290768 wavelength + 0.0494743 log(Re)log(Pr) + 0.000380747 log(Re)log(Da) - 0.000336676 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_80,Nuavg,certified_symbolic,symbolic,0.6673068932390482,1.5647472070025221,2.904656238666193,0.9726012858034957,16.0,0.0,0.015017763666280916,2.686600555790606,0.6574791888224724,False,False,Nuavg = exp(1.42596 + 7.38651e-05 Re + 0.0508726 log(Re) + 0.0184778 sqrt(Re) + 0.00162706 Pr + 0.016864 sqrt(Pr) - 0.76152 Da - 0.000204031 log(Da) - 1.54591 sqrt(Da) + 0.000498889 porosity + 0.875483 thickness - 0.138208 amplitude - 0.00290768 wavelength + 0.0494743 log(Re)log(Pr) + 0.000380747 log(Re)log(Da) - 0.000336676 log(Pr)log(thickness)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_80,Nuavg,random_forest,black_box,0.07147408188719973,0.2586065620329501,0.2990702489677753,0.9992516222043171,1466094.0,0.0,0.0006495834006103542,2.7597682623569337,0.7632549781803514,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
sparse_80,Nuavg,xgboost_hist,black_box,0.2012574584183104,0.41864111384016023,1.0031917575178935,0.9980387833728661,600.0,0.0,0.0,1.9950112603555055,0.6686750522571417,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
